id,name,symbol,price
1,Bitcoin,BTC,37667.92203640947
1027,Ethereum,ETH,2036.4045901726367
825,Tether USDt,USDT,1.000048942162315
1839,BNB,BNB,227.15287523464454
52,XRP,XRP,0.6012279460560219
5426,Solana,SOL,59.21296698376421
3408,USDC,USDC,1.0000061269031137
2010,Cardano,ADA,0.37514782288737897
74,Dogecoin,DOGE,0.08335465949652367
1958,TRON,TRX,0.10352281048490927
11419,Toncoin,TON,2.4163662084404165
1975,Chainlink,LINK,14.414829484360581
5805,Avalanche,AVAX,20.98092026596134
3890,Polygon,MATIC,0.769870341106327
6636,Polkadot,DOT,5.4259866755989945
4943,Dai,DAI,0.9997933359132087
2,Litecoin,LTC,69.40187988790302
5994,Shiba Inu,SHIB,8.206021706517176e-06
1831,Bitcoin Cash,BCH,222.45384712294367
3957,UNUS SED LEO,LEO,3.9777912462436515
3794,Cosmos,ATOM,9.32095049088573
7083,Uniswap,UNI,5.933513962328138
3897,OKB,OKB,56.567307246730195
512,Stellar,XLM,0.1185810636291922
328,Monero,XMR,168.797561220388
2563,TrueUSD,TUSD,0.9986517557697249
20396,Kaspa,KAS,0.1283964103434245
1321,Ethereum Classic,ETC,18.60314222798568
3635,Cronos,CRO,0.09032031408761802
4157,THORChain,RUNE,6.531575097731184
2280,Filecoin,FIL,4.384478821524677
8000,Lido DAO,LDO,2.3310654055384408
4642,Hedera,HBAR,0.060514397330576494
8916,Internet Computer,ICP,4.473477319330107
21794,Aptos,APT,6.997304713722015
6535,NEAR Protocol,NEAR,1.8666305264544034
4687,BUSD,BUSD,0.9998839116174494
27075,Mantle,MNT,0.5359167288701426
10603,Immutable,IMX,1.269589653719228
3077,VeChain,VET,0.021343169243368862
7226,Injective,INJ,18.07362898324848
11840,Optimism,OP,1.6597980440344515
7278,Aave,AAVE,97.15379455555016
4195,FTX Token,FTT,4.291749053851238
1518,Maker,MKR,1528.203350416144
6719,The Graph,GRT,0.14302021129189965
11841,Arbitrum,ARB,1.0068104665899764
5690,Render,RNDR,3.4299673041068823
3155,Quant,QNT,98.8973156257159
6892,MultiversX,EGLD,43.58723377331005
